dataId,pointId,timestamp,temperature,humidity,altitude,latitude,longitude
1,12,2024-02-08T20:02:04.000000,2.2222,91.0,3633.0,37.73003,-119.61131
2,15,2024-02-08T20:12:44.000000,20.0,60.0,126.0,30.66194,-89.79556
3,43,2024-02-08T20:23:04.000000,-0.5556,69.0,3872.0,44.58179,-104.7195
4,49,2024-02-08T20:04:34.000000,1.1111,100.0,5382.0,39.80742,-122.94511
5,59,2024-02-08T19:39:34.000000,-2.2222,85.0,6700.0,44.66597,-111.09911
6,90,2024-02-08T19:34:34.000000,1.1111,74.0,4011.0,44.92548,-121.1977
7,124,2024-02-08T19:27:04.000000,2.2222,75.0,6493.0,38.97924,-112.23886
8,135,2024-02-08T14:13:44.000000,2.2222,67.0,710.0,40.459,-76.617
9,139,2024-02-08T19:58:44.000000,1.1111,80.0,5297.0,44.9429,-116.1882
10,140,2024-02-08T15:50:14.000000,11.6667,0.0,300.0,32.783,-117.136
11,150,2024-02-08T19:38:04.000000,-1.6667,94.0,6436.0,37.33105,-112.38345
12,174,2024-02-08T15:56:34.000000,-6.6667,56.0,939.0,61.73372,-148.81775
13,229,2024-02-08T20:19:14.000000,-1.1111,87.0,7568.0,39.27283,-119.963
14,230,2024-02-08T20:10:35.000000,16.1111,38.0,42.0,34.82499,-77.32307
15,242,2024-02-08T20:05:14.000000,17.2222,53.0,499.0,36.16083,-88.8001
16,258,2024-02-08T20:06:14.000000,10.0,60.0,1210.0,46.34417,-91.54333
17,263,2024-02-08T20:10:44.000000,17.7778,70.0,389.0,35.56792,-90.71164
18,271,2024-02-08T19:55:39.000000,5.0,85.0,2737.0,40.71994,-123.92829
19,285,2024-02-08T19:34:14.000000,3.8889,71.0,5149.0,39.77948,-120.59449
20,289,2024-02-05T21:14:55.000000,7.2222,63.0,700.0,46.24083,-84.51111
21,305,2024-02-08T20:01:24.000000,8.3333,47.0,1230.0,48.34694,-120.72028
22,352,2024-02-08T20:09:34.000000,18.8889,64.0,150.0,31.94972,-90.38056
23,374,2024-02-08T20:17:55.000000,16.1111,36.0,20.0,35.09686,-77.11099
24,404,2024-02-08T19:54:49.000000,1.6667,92.0,4816.0,40.06866,-121.584
25,410,2024-02-08T19:41:36.000000,10.0,54.0,1748.0,33.75474,-117.5001
26,411,2024-02-08T19:54:19.000000,8.3333,56.0,2452.0,40.43784,-122.83093
27,412,2024-02-08T19:39:44.000000,1.6667,74.0,5391.0,45.45964,-111.24447
28,419,2024-02-08T19:52:24.000000,12.2222,55.0,675.0,37.39833,-121.80694
29,423,2024-02-08T19:53:45.000000,-16.1111,80.0,723.0,62.72388,-154.0764
30,440,2024-02-08T20:20:34.000000,7.2222,72.0,2733.0,33.64711,-117.41203
31,451,2024-02-08T19:26:56.000000,1.6667,75.0,3966.0,46.71853,-114.15731
32,502,2024-02-08T15:50:34.000000,-6.1111,93.0,136.0,61.4222,-150.09257
33,528,2024-02-08T20:04:24.000000,20.0,48.0,232.0,31.10972,-83.42694
34,542,2024-02-08T20:16:24.000000,-3.3333,81.0,8700.0,39.30944,-111.32278
35,575,2024-02-08T19:47:44.000000,1.1111,71.0,6158.0,40.78169,-120.78437
