dataId,pointId,timestamp,temperature,humidity,altitude,latitude,longitude
1,52.52_13.41,2024-03-03T00:00:00.000000,7.2584996,93.04425,38.0,52.52,13.41
2,52.52_13.41,2024-03-03T01:00:00.000000,7.6085,93.06301,38.0,52.52,13.41
3,52.52_13.41,2024-03-03T02:00:00.000000,6.9585,94.97483,38.0,52.52,13.41
4,52.52_13.41,2024-03-03T03:00:00.000000,6.5084996,95.61626,38.0,52.52,13.41
5,52.52_13.41,2024-03-03T04:00:00.000000,6.2584996,96.605835,38.0,52.52,13.41
6,52.52_13.41,2024-03-03T05:00:00.000000,6.4084997,97.27963,38.0,52.52,13.41
7,52.52_13.41,2024-03-03T06:00:00.000000,6.6085,97.61984,38.0,52.52,13.41
8,52.52_13.41,2024-03-03T07:00:00.000000,7.3585,95.97427,38.0,52.52,13.41
9,52.52_13.41,2024-03-03T08:00:00.000000,8.658501,92.48583,38.0,52.52,13.41
10,52.52_13.41,2024-03-03T09:00:00.000000,10.2585,85.936195,38.0,52.52,13.41
11,52.52_13.41,2024-03-03T10:00:00.000000,11.7085,76.47273,38.0,52.52,13.41
12,52.52_13.41,2024-03-03T11:00:00.000000,12.6085005,70.61729,38.0,52.52,13.41
13,52.52_13.41,2024-03-03T12:00:00.000000,12.6085005,68.94708,38.0,52.52,13.41
14,52.52_13.41,2024-03-03T13:00:00.000000,13.2585,68.60929,38.0,52.52,13.41
15,52.52_13.41,2024-03-03T14:00:00.000000,13.3585005,66.553894,38.0,52.52,13.41
16,52.52_13.41,2024-03-03T15:00:00.000000,13.2085,66.29445,38.0,52.52,13.41
17,52.52_13.41,2024-03-03T16:00:00.000000,12.4585,70.10695,38.0,52.52,13.41
18,52.52_13.41,2024-03-03T17:00:00.000000,10.7585,75.79549,38.0,52.52,13.41
19,52.52_13.41,2024-03-03T18:00:00.000000,10.408501,78.92552,38.0,52.52,13.41
20,52.52_13.41,2024-03-03T19:00:00.000000,10.2585,79.71944,38.0,52.52,13.41
21,52.52_13.41,2024-03-03T20:00:00.000000,10.0585,80.79191,38.0,52.52,13.41
22,52.52_13.41,2024-03-03T21:00:00.000000,9.9585,81.61344,38.0,52.52,13.41
23,52.52_13.41,2024-03-03T22:00:00.000000,9.4585,84.10734,38.0,52.52,13.41
24,52.52_13.41,2024-03-03T23:00:00.000000,8.2085,89.64898,38.0,52.52,13.41
25,52.52_13.41,2024-03-04T00:00:00.000000,7.4084997,91.7784,38.0,52.52,13.41
26,52.52_13.41,2024-03-04T01:00:00.000000,7.3085,91.14048,38.0,52.52,13.41
27,52.52_13.41,2024-03-04T02:00:00.000000,6.9084997,92.06498,38.0,52.52,13.41
28,52.52_13.41,2024-03-04T03:00:00.000000,6.4084997,93.64598,38.0,52.52,13.41
29,52.52_13.41,2024-03-04T04:00:00.000000,6.1085,95.271385,38.0,52.52,13.41
30,52.52_13.41,2024-03-04T05:00:00.000000,6.5084996,95.61626,38.0,52.52,13.41
31,52.52_13.41,2024-03-04T06:00:00.000000,7.1584997,94.98268,38.0,52.52,13.41
32,52.52_13.41,2024-03-04T07:00:00.000000,7.7584996,92.11662,38.0,52.52,13.41
33,52.52_13.41,2024-03-04T08:00:00.000000,8.7585,87.86723,38.0,52.52,13.41
34,52.52_13.41,2024-03-04T09:00:00.000000,10.0585,82.187325,38.0,52.52,13.41
35,52.52_13.41,2024-03-04T10:00:00.000000,11.0085,78.47677,38.0,52.52,13.41
36,52.52_13.41,2024-03-04T11:00:00.000000,11.7085,75.43698,38.0,52.52,13.41
37,52.52_13.41,2024-03-04T12:00:00.000000,12.4585,72.54217,38.0,52.52,13.41
38,52.52_13.41,2024-03-04T13:00:00.000000,11.7585,74.42235,38.0,52.52,13.41
39,52.52_13.41,2024-03-04T14:00:00.000000,12.3585005,71.053024,38.0,52.52,13.41
40,52.52_13.41,2024-03-04T15:00:00.000000,12.4585,70.82982,38.0,52.52,13.41
41,52.52_13.41,2024-03-04T16:00:00.000000,11.8085,76.48896,38.0,52.52,13.41
42,52.52_13.41,2024-03-04T17:00:00.000000,9.2585,85.83234,38.0,52.52,13.41
43,52.52_13.41,2024-03-04T18:00:00.000000,9.4585,81.82834,38.0,52.52,13.41
44,52.52_13.41,2024-03-04T19:00:00.000000,9.3085,80.41087,38.0,52.52,13.41
45,52.52_13.41,2024-03-04T20:00:00.000000,9.0585,80.37586,38.0,52.52,13.41
46,52.52_13.41,2024-03-04T21:00:00.000000,8.8585005,77.877945,38.0,52.52,13.41
47,52.52_13.41,2024-03-04T22:00:00.000000,8.0085,75.86114,38.0,52.52,13.41
48,52.52_13.41,2024-03-04T23:00:00.000000,7.1584997,74.653946,38.0,52.52,13.41
49,52.52_13.41,2024-03-05T00:00:00.000000,6.5585,74.28336,38.0,52.52,13.41
50,52.52_13.41,2024-03-05T01:00:00.000000,6.1584997,82.838036,38.0,52.52,13.41
51,52.52_13.41,2024-03-05T02:00:00.000000,5.8585,83.97785,38.0,52.52,13.41
52,52.52_13.41,2024-03-05T03:00:00.000000,5.6584997,83.36269,38.0,52.52,13.41
53,52.52_13.41,2024-03-05T04:00:00.000000,5.5585,79.02802,38.0,52.52,13.41
54,52.52_13.41,2024-03-05T05:00:00.000000,4.9585,78.37419,38.0,52.52,13.41
55,52.52_13.41,2024-03-05T06:00:00.000000,3.3085,83.070854,38.0,52.52,13.41
56,52.52_13.41,2024-03-05T07:00:00.000000,2.8585,83.91957,38.0,52.52,13.41
57,52.52_13.41,2024-03-05T08:00:00.000000,3.7585,79.900024,38.0,52.52,13.41
58,52.52_13.41,2024-03-05T09:00:00.000000,5.1085,76.7308,38.0,52.52,13.41
59,52.52_13.41,2024-03-05T10:00:00.000000,6.4084997,66.926994,38.0,52.52,13.41
60,52.52_13.41,2024-03-05T11:00:00.000000,6.8585,61.686546,38.0,52.52,13.41
61,52.52_13.41,2024-03-05T12:00:00.000000,7.0585,59.31972,38.0,52.52,13.41
62,52.52_13.41,2024-03-05T13:00:00.000000,6.3085,64.52958,38.0,52.52,13.41
63,52.52_13.41,2024-03-05T14:00:00.000000,6.1584997,63.56536,38.0,52.52,13.41
64,52.52_13.41,2024-03-05T15:00:00.000000,5.8585,63.726646,38.0,52.52,13.41
65,52.52_13.41,2024-03-05T16:00:00.000000,5.4084997,64.08774,38.0,52.52,13.41
66,52.52_13.41,2024-03-05T17:00:00.000000,4.9084997,68.817474,38.0,52.52,13.41
67,52.52_13.41,2024-03-05T18:00:00.000000,4.5084996,71.541306,38.0,52.52,13.41
