dataId,pointId,timestamp,temperature,humidity,altitude
1,12,2024-02-08T20:02:04.000000,2.2222,91.0,3633.0
2,15,2024-02-08T20:12:44.000000,20.0,60.0,126.0
3,43,2024-02-08T20:23:04.000000,-0.5556,69.0,3872.0
4,49,2024-02-08T20:04:34.000000,1.1111,100.0,5382.0
5,59,2024-02-08T19:39:34.000000,-2.2222,85.0,6700.0
6,90,2024-02-08T19:34:34.000000,1.1111,74.0,4011.0
7,124,2024-02-08T19:27:04.000000,2.2222,75.0,6493.0
8,135,2024-02-08T14:13:44.000000,2.2222,67.0,710.0
9,139,2024-02-08T19:58:44.000000,1.1111,80.0,5297.0
10,140,2024-02-08T15:50:14.000000,11.6667,0.0,300.0
11,150,2024-02-08T19:38:04.000000,-1.6667,94.0,6436.0
12,174,2024-02-08T15:56:34.000000,-6.6667,56.0,939.0
13,229,2024-02-08T20:19:14.000000,-1.1111,87.0,7568.0
14,230,2024-02-08T20:10:35.000000,16.1111,38.0,42.0
15,242,2024-02-08T20:05:14.000000,17.2222,53.0,499.0
16,258,2024-02-08T20:06:14.000000,10.0,60.0,1210.0
17,263,2024-02-08T20:10:44.000000,17.7778,70.0,389.0
18,271,2024-02-08T19:55:39.000000,5.0,85.0,2737.0
19,285,2024-02-08T19:34:14.000000,3.8889,71.0,5149.0
20,289,2024-02-05T21:14:55.000000,7.2222,63.0,700.0
21,305,2024-02-08T20:01:24.000000,8.3333,47.0,1230.0
22,352,2024-02-08T20:09:34.000000,18.8889,64.0,150.0
23,374,2024-02-08T20:17:55.000000,16.1111,36.0,20.0
24,404,2024-02-08T19:54:49.000000,1.6667,92.0,4816.0
25,410,2024-02-08T19:41:36.000000,10.0,54.0,1748.0
26,411,2024-02-08T19:54:19.000000,8.3333,56.0,2452.0
27,412,2024-02-08T19:39:44.000000,1.6667,74.0,5391.0
28,419,2024-02-08T19:52:24.000000,12.2222,55.0,675.0
29,423,2024-02-08T19:53:45.000000,-16.1111,80.0,723.0
30,440,2024-02-08T20:20:34.000000,7.2222,72.0,2733.0
31,451,2024-02-08T19:26:56.000000,1.6667,75.0,3966.0
32,502,2024-02-08T15:50:34.000000,-6.1111,93.0,136.0
33,528,2024-02-08T20:04:24.000000,20.0,48.0,232.0
34,542,2024-02-08T20:16:24.000000,-3.3333,81.0,8700.0
35,575,2024-02-08T19:47:44.000000,1.1111,71.0,6158.0
36,578,2024-02-08T20:04:14.000000,-6.6667,86.0,9200.0
37,584,2024-02-08T19:38:54.000000,0.0,79.0,5085.0
38,607,2024-02-08T19:33:34.000000,9.4444,66.0,1403.0
39,630,2024-02-08T19:28:54.000000,4.4444,85.0,2428.0
40,683,2024-02-08T20:23:41.000000,17.7778,48.0,7.0
41,692,2024-02-08T19:55:04.000000,11.1111,61.0,1260.0
42,699,2024-02-08T20:22:41.000000,12.7778,90.0,3805.0
43,702,2024-02-08T19:38:04.000000,4.4444,52.0,0.0
44,709,2024-02-08T19:54:39.000000,6.1111,58.0,3090.0
45,718,2024-02-08T19:28:24.000000,2.2222,84.0,3308.0
46,724,2024-02-08T20:14:14.000000,15.5556,48.0,300.0
47,732,2024-02-08T15:50:04.000000,5.5556,94.0,2395.0
48,752,2024-02-08T19:38:14.000000,0.0,89.0,5846.0
49,753,2024-02-08T20:09:14.000000,17.2222,66.0,370.0
50,765,2024-02-08T20:06:14.000000,-3.8889,77.0,7137.0
51,766,2024-02-08T19:53:55.000000,2.2222,89.0,3280.0
